bachelor_or_higher,State
2046223,Alabama
304946,Alaska
3410861,Arizona
1073573,Arkansas
20333085,California
3834558,Colorado
2200664,Connecticut
537764,Delaware
648241,District of Columbia
11259272,Florida
5216422,Georgia
740322,Hawaii
842415,Idaho
6743633,Illinois
2789327,Indiana
1435787,Iowa
1418723,Kansas
1771352,Kentucky
1717379,Louisiana
758244,Maine
3848060,Maryland
4767149,Massachusetts
4597388,Michigan
3146730,Minnesota
995145,Mississippi
2803410,Missouri
554950,Montana
926271,Nebraska
1221896,Nevada
863094,New Hampshire
5792623,New Jersey
900791,New Mexico
11478789,New York
5431440,North Carolina
341503,North Dakota
5331702,Ohio
1552877,Oklahoma
2249716,Oregon
6596301,Pennsylvania
636956,Rhode Island
2447217,South Carolina
391863,South Dakota
3109117,Tennessee
13659232,Texas
1583633,Utah
421406,Vermont
5169839,Virginia
4425507,Washington
643336,West Virginia
2798888,Wisconsin
240054,Wyoming
1470061,Puerto Rico
